#dtstart,2019-07-30 15:40:19.753
Time,VOLT,Event
0.409,0.315876,,
0.409,0.315876,,
0.410,0.315876,,
0.410,0.315876,,
0.410,0.317707,,
0.411,0.315876,,
0.411,0.314045,,
0.412,0.317707,,
0.412,0.325032,,
0.412,0.328694,,
0.413,0.328694,,
0.413,0.330526,,
0.414,0.332357,,
0.414,0.332357,,
0.414,0.332357,,
0.415,0.334188,,
0.415,0.336019,,
0.416,0.33785,,
0.416,0.334188,,
0.416,0.330526,,
0.417,0.326863,,
0.417,0.326863,,
0.418,0.323201,,
0.418,0.319539,,
0.418,0.315876,,
0.419,0.315876,,
0.419,0.317707,,
0.420,0.319539,,
0.420,0.323201,,
0.420,0.325032,,
0.421,0.325032,,
0.421,0.323201,,
0.422,0.319539,,
0.422,0.315876,,
0.422,0.314045,,
0.423,0.314045,,
0.423,0.314045,,
0.424,0.314045,,
0.424,0.314045,,
0.424,0.314045,,
0.425,0.312214,,
0.425,0.314045,,
0.426,0.315876,,
0.426,0.315876,,
0.426,0.315876,,
0.427,0.315876,,
0.427,0.312214,,
0.428,0.308552,,
0.428,0.30672,,
0.428,0.30672,,
0.429,0.30672,,
0.429,0.30672,,
0.430,0.30672,,
0.430,0.308552,,
0.430,0.308552,,
0.431,0.30672,,
0.431,0.303058,,
0.432,0.299396,,
0.432,0.299396,,
0.432,0.299396,,
0.433,0.299396,,
0.433,0.303058,,
0.434,0.30672,,
0.434,0.310383,,
0.434,0.315876,,
0.435,0.323201,,
0.435,0.323201,,
0.436,0.323201,,
0.436,0.325032,,
0.436,0.325032,,
0.437,0.323201,,
0.437,0.319539,,
0.438,0.315876,,
0.438,0.315876,,
0.438,0.319539,,
0.439,0.319539,,
0.439,0.32137,,
0.440,0.326863,,
0.440,0.328694,,
0.440,0.325032,,
0.441,0.319539,,
0.441,0.317707,,
0.442,0.317707,,
0.442,0.315876,,
0.442,0.314045,,
0.443,0.317707,,
0.443,0.319539,,
0.444,0.319539,,
0.444,0.319539,,
0.444,0.32137,,
0.445,0.323201,,
0.445,0.325032,,
0.446,0.325032,,
0.446,0.325032,,
0.446,0.325032,,
0.447,0.325032,,
0.447,0.32137,,
0.448,0.315876,,
0.448,0.312214,,
0.448,0.308552,,
0.449,0.30672,,
0.449,0.304889,,
0.450,0.304889,,
0.450,0.304889,,
0.450,0.303058,,
0.451,0.303058,,
0.451,0.304889,,
0.452,0.303058,,
0.452,0.304889,,
0.452,0.30672,,
0.453,0.310383,,
0.453,0.312214,,
0.454,0.315876,,
0.454,0.317707,,
0.454,0.32137,,
0.455,0.323201,,
0.455,0.326863,,
0.456,0.328694,,
0.456,0.328694,,
0.456,0.325032,,
0.457,0.319539,,
0.457,0.317707,,
0.458,0.317707,,
0.458,0.325032,,
0.458,0.330526,,
0.459,0.328694,,
0.459,0.32137,,
0.460,0.319539,,
0.460,0.319539,,
0.460,0.32137,,
0.461,0.319539,,
0.461,0.317707,,
0.462,0.317707,,
0.462,0.319539,,
0.462,0.323201,,
0.463,0.323201,,
0.463,0.32137,,
0.464,0.314045,,
0.464,0.30672,,
0.464,0.30672,,
0.465,0.312214,,
0.465,0.315876,,
0.466,0.315876,,
0.466,0.310383,,
0.466,0.30672,,
0.467,0.308552,,
0.467,0.312214,,
0.468,0.314045,,
0.468,0.317707,,
0.468,0.319539,,
0.469,0.317707,,
0.469,0.319539,,
0.470,0.323201,,
0.470,0.328694,,
0.470,0.332357,,
0.471,0.332357,,
0.471,0.330526,,
0.472,0.328694,,
0.472,0.330526,,
0.472,0.328694,,
0.473,0.32137,,
0.473,0.314045,,
0.474,0.312214,,
0.474,0.314045,,
0.474,0.314045,,
0.475,0.314045,,
0.475,0.315876,,
0.476,0.317707,,
0.476,0.319539,,
0.476,0.317707,,
0.477,0.317707,,
0.477,0.319539,,
0.478,0.32137,,
0.478,0.323201,,
0.478,0.323201,,
0.479,0.32137,,
0.479,0.319539,,
0.480,0.317707,,
0.480,0.315876,,
0.480,0.312214,,
0.481,0.312214,,
0.481,0.312214,,
0.482,0.310383,,
0.482,0.30672,,
0.482,0.303058,,
0.483,0.303058,,
0.483,0.304889,,
0.484,0.310383,,
0.484,0.315876,,
0.484,0.317707,,
0.485,0.319539,,
0.485,0.319539,,
0.486,0.319539,,
0.486,0.319539,,
0.486,0.319539,,
0.487,0.319539,,
0.487,0.317707,,
0.488,0.315876,,
0.488,0.319539,,
0.488,0.325032,,
0.489,0.330526,,
0.489,0.328694,,
0.490,0.325032,,
0.490,0.323201,,
0.490,0.319539,,
0.491,0.317707,,
0.491,0.319539,,
0.492,0.319539,,
0.492,0.315876,,
0.492,0.310383,,
0.493,0.308552,,
0.493,0.312214,,
0.494,0.315876,,
0.494,0.314045,,
0.494,0.310383,,
0.495,0.308552,,
0.495,0.310383,,
0.496,0.312214,,
0.496,0.312214,,
0.496,0.30672,,
0.497,0.301227,,
0.497,0.299396,,
0.498,0.301227,,
0.498,0.30672,,
0.498,0.312214,,
0.499,0.315876,,
0.499,0.315876,,
0.500,0.317707,,
0.500,0.317707,,
0.500,0.317707,,
0.501,0.315876,,
0.501,0.314045,,
0.502,0.315876,,
0.502,0.317707,,
0.502,0.323201,,
0.503,0.326863,,
